RestingMembranePotential,SpikeAmplitude,Species,Strain,ElectrodeType,PrepType,NeuronType,Title,PubYear,PubmedLink,DataTableLinks,ArticleLink,LastAuthor
-60,,Rats,Wistar,Sharp,in vitro,Hippocampus CA1 basket cell,Unitary IPSPs evoked by interneurons at the stratum radiatum-stratum lacunosum-moleculare border in the CA1 area of the rat hippocampus in vitro.,1998,http://www.ncbi.nlm.nih.gov/pubmed/9503336/,http://neuroelectro.org/data_table/10082/,http://neuroelectro.org/article/43072/,Buhl EH
-59.8,,Mice,C57BL,Patch-clamp,in vitro,Hippocampus CA1 basket cell,NMDA receptor-dependent long-term potentiation in mouse hippocampal interneurons shows a unique dependence on Ca(2+)/calmodulin-dependent kinases.,2007,http://www.ncbi.nlm.nih.gov/pubmed/17884930/,http://neuroelectro.org/data_table/11371/,http://neuroelectro.org/article/46287/,Kullmann DM
-63,56,Mice,C57BL,Patch-clamp,in vitro,Hippocampus CA1 ivy neuron,Common origins of hippocampal Ivy and nitric oxide synthase expressing neurogliaform cells.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20147544/,http://neuroelectro.org/data_table/1838/,http://neuroelectro.org/article/35516/,McBain CJ
-63.5,57.5,Mice,C57BL,Patch-clamp,in vitro,Hippocampus CA1 neurogliaform cell,Common origins of hippocampal Ivy and nitric oxide synthase expressing neurogliaform cells.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20147544/,http://neuroelectro.org/data_table/1838/,http://neuroelectro.org/article/35516/,McBain CJ
-58.3,,Rats,Wistar,Sharp,in vitro,Hippocampus CA1 neurogliaform cell,Unitary IPSPs evoked by interneurons at the stratum radiatum-stratum lacunosum-moleculare border in the CA1 area of the rat hippocampus in vitro.,1998,http://www.ncbi.nlm.nih.gov/pubmed/9503336/,http://neuroelectro.org/data_table/10082/,http://neuroelectro.org/article/43072/,Buhl EH
-62,,Mice,C57BL,Patch-clamp,in vitro,Hippocampus CA1 oriens lacunosum moleculare neuron,Transition to seizures in the isolated immature mouse hippocampus: a switch from domit phasic inhibition to domit phasic excitation.,2008,http://www.ncbi.nlm.nih.gov/pubmed/17991696/,http://neuroelectro.org/data_table/8047/,http://neuroelectro.org/article/11195/,Carlen PL
,,Rats,Wistar,Patch-clamp,in vitro,Hippocampus CA1 oriens lacunosum moleculare neuron,Differences in subthreshold resoce of hippocampal pyramidal cells and interneurons: the role of h-current and passive membrane characteristics.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20421280/,http://neuroelectro.org/data_table/8283/,http://neuroelectro.org/article/27366/,Hájos N
,82.6,Rats,Sprague-Dawley,Patch-clamp,cell culture,Hippocampus CA1 pyramidal cell,Hyperexcitability of distal dendrites in hippocampal pyramidal cells after chronic partial deafferentation.,2007,http://www.ncbi.nlm.nih.gov/pubmed/17202472/,http://neuroelectro.org/data_table/2248/,http://neuroelectro.org/article/4321/,Tang CM
-60.1,,Mice,C57BL,Patch-clamp,in vitro,Hippocampus CA1 pyramidal cell,A spontaneous mutation involving Kcnq2 (Kv7.2) reduces M-current density and spike frequency adaptation in mouse CA1 neurons.,2006,http://www.ncbi.nlm.nih.gov/pubmed/16481438/,http://neuroelectro.org/data_table/2379/,http://neuroelectro.org/article/5686/,Wilcox KS
-69.9,92,Rats,Sprague-Dawley,Sharp,in vitro,Hippocampus CA1 pyramidal cell,KCNQ/M channels control spike afterdepolarization and burst generation in hippocampal neurons.,2004,http://www.ncbi.nlm.nih.gov/pubmed/15140933/,http://neuroelectro.org/data_table/2607/,http://neuroelectro.org/article/5989/,Yaari Y
-61.7,,Mice,C57BL,Patch-clamp,in vitro,Hippocampus CA1 pyramidal cell,Alterations in intrinsic membrane properties and the axon initial segment in a mouse model of Angelman syndrome.,2011,http://www.ncbi.nlm.nih.gov/pubmed/22131424/,http://neuroelectro.org/data_table/1514/,http://neuroelectro.org/article/9075/,Klann E
-66.2,112,Rats,Wistar,Patch-clamp,in vitro,Hippocampus CA1 pyramidal cell,Resting and active properties of pyramidal neurons in subiculum and CA1 of rat hippocampus.,2000,http://www.ncbi.nlm.nih.gov/pubmed/11067982/,http://neuroelectro.org/data_table/1064/; http://neuroelectro.org/data_table/1065/,http://neuroelectro.org/article/10775/,Spruston N
-68,,Mice,C57BL,Patch-clamp,in vitro,Hippocampus CA1 pyramidal cell,Transition to seizures in the isolated immature mouse hippocampus: a switch from domit phasic inhibition to domit phasic excitation.,2008,http://www.ncbi.nlm.nih.gov/pubmed/17991696/,http://neuroelectro.org/data_table/8047/,http://neuroelectro.org/article/11195/,Carlen PL
-68.5,93.55,Rats,Sprague-Dawley,Sharp,in vitro,Hippocampus CA1 pyramidal cell,Proximal persistent Na+ channels drive spike afterdepolarizations and associated bursting in adult CA1 pyramidal cells.,2005,http://www.ncbi.nlm.nih.gov/pubmed/16237175/,http://neuroelectro.org/data_table/2411/,http://neuroelectro.org/article/11852/,Yaari Y
-64.3,87,Rats,Sprague-Dawley,Sharp,in vitro,Hippocampus CA1 pyramidal cell,Extracellular calcium modulates persistent sodium current-dependent burst-firing in hippocampal pyramidal neurons.,2001,http://www.ncbi.nlm.nih.gov/pubmed/11404402/,http://neuroelectro.org/data_table/3036/,http://neuroelectro.org/article/11918/,Yaari Y
-64.3,90.2,Rats,Sprague-Dawley,Sharp,in vitro,Hippocampus CA1 pyramidal cell,Initiation of network bursts by Ca2+-dependent intrinsic bursting in the rat pilocarpine model of temporal lobe epilepsy.,2001,http://www.ncbi.nlm.nih.gov/pubmed/11283235/,http://neuroelectro.org/data_table/8144/,http://neuroelectro.org/article/14171/,Yaari Y
,,Mice,C57BL,Patch-clamp,in vitro,Hippocampus CA1 pyramidal cell,Cholinergic stimulation enhances cytosolic calcium ion accumulation in mouse hippocampal CA1 pyramidal neurones during short action potential trains.,2000,http://www.ncbi.nlm.nih.gov/pubmed/10878106/,http://neuroelectro.org/data_table/8213/,http://neuroelectro.org/article/24843/,Barish ME
-65.9,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Hippocampus CA1 pyramidal cell,Slow afterhyperpolarization governs the development of NMDA receptor-dependent afterdepolarization in CA1 pyramidal neurons during synaptic stimulation.,2004,http://www.ncbi.nlm.nih.gov/pubmed/15190096/,http://neuroelectro.org/data_table/5533/,http://neuroelectro.org/article/25371/,Disterhoft JF
,,Rats,Wistar,Patch-clamp,in vitro,Hippocampus CA1 pyramidal cell,Differences in subthreshold resoce of hippocampal pyramidal cells and interneurons: the role of h-current and passive membrane characteristics.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20421280/,http://neuroelectro.org/data_table/8283/,http://neuroelectro.org/article/27366/,Hájos N
-67.1,,Rats,Wistar,Sharp,in vitro,Hippocampus CA1 pyramidal cell,Heterogeneous firing behavior during ictal-like epileptiform activity in vitro.,2012,http://www.ncbi.nlm.nih.gov/pubmed/22157126/,http://neuroelectro.org/data_table/14/,http://neuroelectro.org/article/31997/,Nedergaard S
-61.67,,Rats,Fischer 344,Sharp,in vitro,Hippocampus CA1 pyramidal cell,Disrupting function of FK506-binding protein 1b/12.6 induces the Ca_+-dysregulation aging phenotype in hippocampal neurons.,2011,http://www.ncbi.nlm.nih.gov/pubmed/21289178/,http://neuroelectro.org/data_table/1666/,http://neuroelectro.org/article/32797/,Landfield PW
-63.1,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Hippocampus CA1 pyramidal cell,Cholecystokinin increases GABA release by inhibiting a resting K+ conductance in hippocampal interneurons.,1997,http://www.ncbi.nlm.nih.gov/pubmed/9185537/,http://neuroelectro.org/data_table/10754/,http://neuroelectro.org/article/33395/,Lupica CR
-64.5,,Guinea Pigs,Guinea Pigs,Sharp,in vitro,Hippocampus CA1 pyramidal cell,Temporal overlap of excitatory and inhibitory afferent input in guinea-pig CA1 pyramidal cells.,1999,http://www.ncbi.nlm.nih.gov/pubmed/10087347/,http://neuroelectro.org/data_table/8497/,http://neuroelectro.org/article/33579/,Stelzer A
-64.8,106.8,Rats,Sprague-Dawley,Patch-clamp,in vitro,Hippocampus CA1 pyramidal cell,Enhanced intrinsic excitability and EPSP-spike coupling accompany enriched environment-induced facilitation of LTP in hippocampal CA1 pyramidal neurons.,2012,http://www.ncbi.nlm.nih.gov/pubmed/22157122/,http://neuroelectro.org/data_table/11/,http://neuroelectro.org/article/33697/,Chattarji S
,,Rats,Sprague-Dawley,Sharp,in vitro,Hippocampus CA1 pyramidal cell,Group I mGluRs increase excitability of hippocampal CA1 pyramidal neurons by a PLC-independent mechanism.,2002,http://www.ncbi.nlm.nih.gov/pubmed/12091536/,http://neuroelectro.org/data_table/912/,http://neuroelectro.org/article/34461/,Abraham WC
-64.4,77.3,Rats,Wistar,Patch-clamp,in vitro,Hippocampus CA1 pyramidal cell,Intracellular correlates of spatial memory acquisition in hippocampal slices: long-term disinhibition of CA1 pyramidal cells.,2001,http://www.ncbi.nlm.nih.gov/pubmed/11495958/,http://neuroelectro.org/data_table/985/,http://neuroelectro.org/article/34529/,Alkon DL
-72.55,,Rats,Sprague-Dawley,Sharp,in vitro,Hippocampus CA1 pyramidal cell,Mechanism for increased hippocampal synaptic strength following differential experience.,2001,http://www.ncbi.nlm.nih.gov/pubmed/11287462/,http://neuroelectro.org/data_table/1007/,http://neuroelectro.org/article/34560/,Dumas TC
-61.38,,Rats,Long-Evans,Patch-clamp,in vitro,Hippocampus CA1 pyramidal cell,Hypoxia-induced neonatal seizures diminish silent synapses and long-term potentiation in hippocampal CA1 neurons.,2011,http://www.ncbi.nlm.nih.gov/pubmed/22171027/,http://neuroelectro.org/data_table/1497/,http://neuroelectro.org/article/35011/,Jensen FE
-72.47,70.94,Mice,C57BL,Patch-clamp,in vitro,Hippocampus CA1 pyramidal cell,A functional null mutation of SCN1B in a patient with Dravet syndrome.,2009,http://www.ncbi.nlm.nih.gov/pubmed/19710327/,http://neuroelectro.org/data_table/1929/,http://neuroelectro.org/article/35646/,Isom LL
-62,77.37,Rats,Fischer 344,Sharp,in vitro,Hippocampus CA1 pyramidal cell,Early and simultaneous emergence of multiple hippocampal biomarkers of aging is mediated by Ca2+-induced Ca2+ release.,2006,http://www.ncbi.nlm.nih.gov/pubmed/16571755/,http://neuroelectro.org/data_table/2372/,http://neuroelectro.org/article/36399/,Thibault O
-62,77.6,Rats,Sprague-Dawley,Patch-clamp,in vitro,Hippocampus CA1 pyramidal cell,Depression of synaptic transmission by vascular endothelial growth factor in adult rat hippocampus and evidence for increased efficacy after chronic seizures.,2005,http://www.ncbi.nlm.nih.gov/pubmed/16192378/,http://neuroelectro.org/data_table/2430/,http://neuroelectro.org/article/36504/,Scharfman HE
-70.7,,Mice,C57BL,Patch-clamp,in vitro,Hippocampus CA1 pyramidal cell,Focal deletion of the adenosine A1 receptor in adult mice using an adeno-associated viral vector.,2003,http://www.ncbi.nlm.nih.gov/pubmed/12843280/,http://neuroelectro.org/data_table/2742/,http://neuroelectro.org/article/36991/,Greene RW
-58.7,,Rats,Fischer 344,Patch-clamp,in vitro,Hippocampus CA1 pyramidal cell,Elevated postsynaptic [Ca2+]i and L-type calcium channel activity in aged hippocampal neurons: relationship to impaired synaptic plasticity.,2001,http://www.ncbi.nlm.nih.gov/pubmed/11739583/,http://neuroelectro.org/data_table/2956/; http://neuroelectro.org/data_table/2957/,http://neuroelectro.org/article/37275/,Landfield PW
-65,,Rats,Wistar,Patch-clamp,in vitro,Hippocampus CA1 pyramidal cell,Unique properties of NMDA receptors enhance synaptic excitation of radiatum giant cells in rat hippocampus.,2000,http://www.ncbi.nlm.nih.gov/pubmed/10864941/,http://neuroelectro.org/data_table/3156/,http://neuroelectro.org/article/37497/,Yaari Y
-59.9,,Rats,Wistar,Sharp,in vitro,Hippocampus CA1 pyramidal cell,Unitary IPSPs evoked by interneurons at the stratum radiatum-stratum lacunosum-moleculare border in the CA1 area of the rat hippocampus in vitro.,1998,http://www.ncbi.nlm.nih.gov/pubmed/9503336/,http://neuroelectro.org/data_table/10082/,http://neuroelectro.org/article/43072/,Buhl EH
-65.6,,Mice,C57BL,Patch-clamp,in vitro,Hippocampus CA1 pyramidal cell,Synaptic ionotropic glutamate receptors and plasticity are developmentally altered in the CA1 field of Fmr1 knockout mice.,2009,http://www.ncbi.nlm.nih.gov/pubmed/19103683/,http://neuroelectro.org/data_table/10291/,http://neuroelectro.org/article/43596/,Seeburg PH
-62.8,,Mice,C57BL,Patch-clamp,in vitro,Hippocampus CA1 pyramidal cell,NMDA receptor-dependent long-term potentiation in mouse hippocampal interneurons shows a unique dependence on Ca(2+)/calmodulin-dependent kinases.,2007,http://www.ncbi.nlm.nih.gov/pubmed/17884930/,http://neuroelectro.org/data_table/11371/,http://neuroelectro.org/article/46287/,Kullmann DM
,,Rats,Wistar,Patch-clamp,in vitro,Hippocampus CA1 pyramidal cell,Mechanisms of electrical coupling between pyramidal cells.,1997,http://www.ncbi.nlm.nih.gov/pubmed/9405530/,http://neuroelectro.org/data_table/6245/,http://neuroelectro.org/article/47709/,Carlen PL
-58.28,,Rats,Wistar,Patch-clamp,in vitro,Hippocampus CA1 pyramidal cell,Differential corticosteroid modulation of inhibitory synaptic currents in the dorsal and ventral hippocampus.,2009,http://www.ncbi.nlm.nih.gov/pubmed/19261881/,http://neuroelectro.org/data_table/12568/; http://neuroelectro.org/data_table/12569/; http://neuroelectro.org/data_table/12570/,http://neuroelectro.org/article/59872/,Segal M
-69,,Rats,Wistar,Patch-clamp,in vitro,Hippocampus CA1 pyramidal cell,Heterogeneous populations of cells mediate spontaneous synchronous bursting in the developing hippocampus through a frequency-dependent mechanism.,2000,http://www.ncbi.nlm.nih.gov/pubmed/10799755/,http://neuroelectro.org/data_table/22053/,http://neuroelectro.org/article/79240/,Sanchez-Andres JV
-63,,Rats,Wistar,Patch-clamp,in vitro,Hippocampus CA1 radiatum giant cell,Unique properties of NMDA receptors enhance synaptic excitation of radiatum giant cells in rat hippocampus.,2000,http://www.ncbi.nlm.nih.gov/pubmed/10864941/,http://neuroelectro.org/data_table/3156/,http://neuroelectro.org/article/37497/,Yaari Y
,,Mice,C57BL,Patch-clamp,in vitro,Hippocampus CA3 basket cell,Differential involvement of oriens/pyramidale interneurones in hippocampal network oscillations in vitro.,2005,http://www.ncbi.nlm.nih.gov/pubmed/15486016/,http://neuroelectro.org/data_table/10636/,http://neuroelectro.org/article/44738/,Buhl EH
,,Mice,C57BL,Patch-clamp,in vitro,Hippocampus CA3 lacunosum moleculare neuron,Differential involvement of oriens/pyramidale interneurones in hippocampal network oscillations in vitro.,2005,http://www.ncbi.nlm.nih.gov/pubmed/15486016/,http://neuroelectro.org/data_table/10636/,http://neuroelectro.org/article/44738/,Buhl EH
-57,85,Rats,Wistar,Patch-clamp,in vitro,Hippocampus CA3 pyramidal cell,Medium afterhyperpolarization and firing pattern modulation in interneurons of stratum radiatum in the CA3 hippocampal region.,2001,http://www.ncbi.nlm.nih.gov/pubmed/11353015/,http://neuroelectro.org/data_table/1004/,http://neuroelectro.org/article/4981/,Sciancalepore M
-76,,Mice,C57BL,Patch-clamp,in vitro,Hippocampus CA3 pyramidal cell,Stable mossy fiber long-term potentiation requires calcium influx at the granule cell soma protein synthesis and microtubule-dependent axonal transport.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20881117/,http://neuroelectro.org/data_table/1721/,http://neuroelectro.org/article/27590/,Beck H
-58,80,Rats,Wistar,Patch-clamp,in vitro,Hippocampus CA3 pyramidal cell,"Electrophysiological characterization of ""giant"" cells in stratum radiatum of the CA3 hippocampal region.",2001,http://www.ncbi.nlm.nih.gov/pubmed/11353016/,http://neuroelectro.org/data_table/1000/,http://neuroelectro.org/article/28502/,Sciancalepore M
-72.6,74.5,Rats,Wistar,Sharp,in vitro,Hippocampus CA3 pyramidal cell,Permanent reduction of seizure threshold in post-ischemic CA3 pyramidal neurons.,2000,http://www.ncbi.nlm.nih.gov/pubmed/10758114/,http://neuroelectro.org/data_table/1118/,http://neuroelectro.org/article/34646/,Crépel V
-63.8,92.2,Rats,Wistar,Sharp,in vitro,Hippocampus CA3 pyramidal cell,Local circuit abnormalities in chronically epileptic rats after intrahippocampal tetanus toxin injection in infancy.,1998,http://www.ncbi.nlm.nih.gov/pubmed/9425181/,http://neuroelectro.org/data_table/1335/,http://neuroelectro.org/article/34848/,Swann JW
-65,73.9,Rats,Wistar,Patch-clamp,in vitro,Hippocampus CA3 pyramidal cell,Blockade of neuronal activity during hippocampal development produces a chronic focal epilepsy in the rat.,2000,http://www.ncbi.nlm.nih.gov/pubmed/10751443/,http://neuroelectro.org/data_table/3178/,http://neuroelectro.org/article/37531/,Swann JW
,,Mice,C57BL,Patch-clamp,in vitro,Hippocampus CA3 pyramidal cell,Differential involvement of oriens/pyramidale interneurones in hippocampal network oscillations in vitro.,2005,http://www.ncbi.nlm.nih.gov/pubmed/15486016/,http://neuroelectro.org/data_table/10636/,http://neuroelectro.org/article/44738/,Buhl EH
-72,,Rats,Wistar,Patch-clamp,in vitro,Hippocampus CA3 pyramidal cell,Heterogeneous populations of cells mediate spontaneous synchronous bursting in the developing hippocampus through a frequency-dependent mechanism.,2000,http://www.ncbi.nlm.nih.gov/pubmed/10799755/,http://neuroelectro.org/data_table/22053/,http://neuroelectro.org/article/79240/,Sanchez-Andres JV
-57,76,Rats,Wistar,Patch-clamp,in vitro,Hippocampus CA3 stratum radiatum giant cell,"Electrophysiological characterization of ""giant"" cells in stratum radiatum of the CA3 hippocampal region.",2001,http://www.ncbi.nlm.nih.gov/pubmed/11353016/,http://neuroelectro.org/data_table/1000/,http://neuroelectro.org/article/28502/,Sciancalepore M
,,Mice,C57BL,Patch-clamp,in vitro,Hippocampus CA3 trilaminar neuron,Differential involvement of oriens/pyramidale interneurones in hippocampal network oscillations in vitro.,2005,http://www.ncbi.nlm.nih.gov/pubmed/15486016/,http://neuroelectro.org/data_table/10636/,http://neuroelectro.org/article/44738/,Buhl EH
-67.1,97.3,Rats,Sprague-Dawley,Sharp,in vitro,Hypoglossal nucleus motor neuron,Serotonergic modulation of the hyperpolarizing spike afterpotential in rat jaw-closing motoneurons by PKA and PKC.,1999,http://www.ncbi.nlm.nih.gov/pubmed/10444661/,http://neuroelectro.org/data_table/1193/,http://neuroelectro.org/article/5592/,Morimoto T
-62.4,89.2,Rats,Sprague-Dawley,Patch-clamp,in vitro,Hypoglossal nucleus motor neuron,Functional imaging spatial reconstruction and biophysical analysis of a respiratory motor circuit isolated in vitro.,2008,http://www.ncbi.nlm.nih.gov/pubmed/18322082/,http://neuroelectro.org/data_table/2088/,http://neuroelectro.org/article/23807/,Smith JC
-59,69,Mice,C57BL,Patch-clamp,in vitro,Hypoglossal nucleus motor neuron,Neonatal neuronal circuitry shows hyperexcitable disturbance in a mouse model of the adult-onset neurodegenerative disease amyotrophic lateral sclerosis.,2008,http://www.ncbi.nlm.nih.gov/pubmed/18945894/,http://neuroelectro.org/data_table/9829/,http://neuroelectro.org/article/30036/,Bellingham MC
-53.2,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Hypoglossal nucleus motor neuron,Developmental nicotine exposure alters neurotransmission and excitability in hypoglossal motoneurons.,2011,http://www.ncbi.nlm.nih.gov/pubmed/21068261/,http://neuroelectro.org/data_table/105/,http://neuroelectro.org/article/33779/,Fregosi RF
-60.05,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Hypoglossal nucleus motor neuron,Excitatory-inhibitory imbalance in hypoglossal neurons during the critical period of postnatal development in the rat.,2011,http://www.ncbi.nlm.nih.gov/pubmed/21486774/,http://neuroelectro.org/data_table/10906/,http://neuroelectro.org/article/45438/,Wong-Riley MT
,,Rats,Long-Evans,Sharp,in vivo,Hypothalamus oxytocin neuroendocrine magnocellular cell,Excitatory role of the hyperpolarization-activated inward current in phasic and tonic firing of rat supraoptic neurons.,2000,http://www.ncbi.nlm.nih.gov/pubmed/10864942/,http://neuroelectro.org/data_table/3158/,http://neuroelectro.org/article/28261/,Bourque CW
-55.9,60.7,Rats,Wistar,Patch-clamp,in vitro,Hypothalamus oxytocin neuroendocrine magnocellular cell,Milk ejection burst-like electrical activity evoked in supraoptic oxytocin neurons in slices from lactating rats.,2004,http://www.ncbi.nlm.nih.gov/pubmed/14724260/,http://neuroelectro.org/data_table/737/,http://neuroelectro.org/article/34321/,Hatton GI
-59.03,50.37,Rats,Wistar,Patch-clamp,in vitro,Inferior colliculus neuron,Intrinsic membrane properties and synaptic response characteristics of neurons in the rat's external cortex of the inferior colliculus.,2007,http://www.ncbi.nlm.nih.gov/pubmed/17258868/,http://neuroelectro.org/data_table/26487/,http://neuroelectro.org/article/12955/,Wu SH
-58.05,58.78,Rats,Long-Evans,Sharp,in vitro,Inferior colliculus neuron,Identification of cell types in brain slices of the inferior colliculus.,2000,http://www.ncbi.nlm.nih.gov/pubmed/11074163/,http://neuroelectro.org/data_table/24675/,http://neuroelectro.org/article/23211/,Oliver DL
-59.9,48.1,Rats,Wistar,Patch-clamp,in vitro,Inferior colliculus neuron,Modification of membrane excitability of neurons in the rat's dorsal cortex of the inferior colliculus by preceding hyperpolarization.,2008,http://www.ncbi.nlm.nih.gov/pubmed/18155851/,http://neuroelectro.org/data_table/25153/,http://neuroelectro.org/article/26039/,Wu SH
-57.1,,Mice,C57BL,Patch-clamp,in vivo,Inferior colliculus neuron,Comparison of responses of neurons in the mouse inferior colliculus to current injections tones of different durations and sinusoidal amplitude-modulated tones.,2007,http://www.ncbi.nlm.nih.gov/pubmed/17507505/,http://neuroelectro.org/data_table/374/,http://neuroelectro.org/article/27809/,Borst JG
-60.7,51.9,Rats,Wistar,Patch-clamp,in vitro,Inferior colliculus neuron,Physiological characteristics of postinhibitory rebound depolarization in neurons of the rat's dorsal cortex of the inferior colliculus studied in vitro.,2008,http://www.ncbi.nlm.nih.gov/pubmed/18586018/,http://neuroelectro.org/data_table/26697/,http://neuroelectro.org/article/85290/,Wu SH
-62,67,Rats,Wistar,Sharp,in vivo,Inferior olive neuron,Rhythmic episodes of subthreshold membrane potential oscillations in the rat inferior olive nuclei in vivo.,2007,http://www.ncbi.nlm.nih.gov/pubmed/17494690/,http://neuroelectro.org/data_table/2211/,http://neuroelectro.org/article/36139/,Lampl I
-50,103.8,Mice,C57BL,Patch-clamp,in vitro,Inferior olive neuron,Rhythmicity without synchrony in the electrically uncoupled inferior olive.,2002,http://www.ncbi.nlm.nih.gov/pubmed/12486184/,http://neuroelectro.org/data_table/2820/,http://neuroelectro.org/article/37106/,Connors BW
-53.5,,Mice,C57BL,Patch-clamp,in vivo,Inferior olive neuron,Role of olivary electrical coupling in cerebellar motor learning.,2008,http://www.ncbi.nlm.nih.gov/pubmed/18498740/,http://neuroelectro.org/data_table/23000/,http://neuroelectro.org/article/80440/,De Zeeuw CI
-63,,Rats,Wistar,Patch-clamp,in vitro,Lateral amygdala projection neuron,Opioids inhibit lateral amygdala pyramidal neurons by enhancing a dendritic potassium current.,2004,http://www.ncbi.nlm.nih.gov/pubmed/15044542/,http://neuroelectro.org/data_table/2629/,http://neuroelectro.org/article/9476/,Sah P
-72.9,71.98,Mice,C57BL,Patch-clamp,in vitro,Lateral amygdala projection neuron,GABAergic interneurons in the mouse lateral amygdala: a classification study.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20484532/,http://neuroelectro.org/data_table/144/,http://neuroelectro.org/article/25973/,Pape HC
-58.5,60,Rats,Wistar,Patch-clamp,cell culture,Locus coeruleus NA neuron,Retrograde viral vector-mediated inhibition of pontospinal noradrenergic neurons causes hyperalgesia in rats.,2009,http://www.ncbi.nlm.nih.gov/pubmed/19828800/,http://neuroelectro.org/data_table/1898/,http://neuroelectro.org/article/7181/,Pickering AE
-54,89.7,Mice,C57BL,Patch-clamp,in vitro,Locus coeruleus NA neuron,Developmental changes in pacemaker currents in mouse locus coeruleus neurons.,2011,http://www.ncbi.nlm.nih.gov/pubmed/22018689/,http://neuroelectro.org/data_table/21596/,http://neuroelectro.org/article/23920/,van Helden DF
,71.7,Rats,Sprague-Dawley,Sharp,in vitro,Locus coeruleus NA neuron,Corticotropin-releasing hormone directly activates noradrenergic neurons of the locus ceruleus recorded in vitro.,2004,http://www.ncbi.nlm.nih.gov/pubmed/15509759/,http://neuroelectro.org/data_table/2549/,http://neuroelectro.org/article/36700/,Grace AA
-71,70.1,Mice,C57BL,Patch-clamp,in vitro,Locus coeruleus NA neuron,Activation of neuropeptide S-expressing neurons in the locus coeruleus by corticotropin-releasing factor.,2012,http://www.ncbi.nlm.nih.gov/pubmed/22570383/,http://neuroelectro.org/data_table/17519/,http://neuroelectro.org/article/71533/,Pape HC
-68.5,,Mice,C57BL,Patch-clamp,in vitro,Medial entorhinal cortex layer II stellate cell,HCN1 channels control resting and active integrative properties of stellate cells from layer II of the entorhinal cortex.,2007,http://www.ncbi.nlm.nih.gov/pubmed/18003822/,http://neuroelectro.org/data_table/2127/,http://neuroelectro.org/article/3977/,Santoro B
-59.1,102.5,Rats,Sprague-Dawley,Patch-clamp,in vitro,Medial entorhinal cortex layer II stellate cell,Reduced inhibition and increased output of layer II neurons in the medial entorhinal cortex in a model of temporal lobe epilepsy.,2003,http://www.ncbi.nlm.nih.gov/pubmed/13679415/,http://neuroelectro.org/data_table/2711/,http://neuroelectro.org/article/36936/,Buckmaster PS
-55,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Medial entorhinal cortex layer III pyramidal cell,Hyperexcitability interneurons and loss of GABAergic synapses in entorhinal cortex in a model of temporal lobe epilepsy.,2006,http://www.ncbi.nlm.nih.gov/pubmed/16641241/,http://neuroelectro.org/data_table/2354/,http://neuroelectro.org/article/36377/,Buckmaster PS
-61.4,73,Rats,Wistar,Sharp,in vitro,Medial entorhinal cortex layer III pyramidal cell,Comparison of the electrophysiology and morphology of layers III and II neurons of the rat medial entorhinal cortex in vitro.,1998,http://www.ncbi.nlm.nih.gov/pubmed/9749802/,,http://neuroelectro.org/article/78223/,Lopes da Silva FH
-65.9,,Mice,C57BL,Patch-clamp,in vitro,Medial Nucleus of Trapezoid Body neuron,Hyperexcitability and reduced low threshold potassium currents in auditory neurons of mice lacking the channel subunit Kv1.1.,2003,http://www.ncbi.nlm.nih.gov/pubmed/12611922/,http://neuroelectro.org/data_table/8633/,http://neuroelectro.org/article/38507/,Tempel BL
,,Mice,C57BL,Patch-clamp,in vitro,Medial vestibular nucleus neuron,Transgenic mouse lines subdivide medial vestibular nucleus neurons into discrete neurochemically distinct populations.,2007,http://www.ncbi.nlm.nih.gov/pubmed/17329429/,http://neuroelectro.org/data_table/2226/,http://neuroelectro.org/article/25307/,du Lac S
-58.63,62.17,Mice,C57BL,Patch-clamp,in vitro,Medial vestibular nucleus neuron,Developmental regulation of the membrane properties of central vestibular neurons by sensory vestibular information in the mouse.,2007,http://www.ncbi.nlm.nih.gov/pubmed/17627998/,http://neuroelectro.org/data_table/8485/; http://neuroelectro.org/data_table/8486/; http://neuroelectro.org/data_table/8487/,http://neuroelectro.org/article/32990/,Vibert N
,69.9,Mice,C57BL,Patch-clamp,in vitro,Medial vestibular nucleus neuron,Heterotrimeric guanosine triphosphate-binding protein-coupled modulatory actions of motilin on K+ channels and postsynaptic ?-aminobutyric acid receptors in mouse medial vestibular nuclear neurons.,2013,http://www.ncbi.nlm.nih.gov/pubmed/23136934/,http://neuroelectro.org/data_table/20161/,http://neuroelectro.org/article/76996/,Nagao S
,88,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neocortex basket cell,Mechanisms of dopamine activation of fast-spiking interneurons that exert inhibition in rat prefrontal cortex.,2002,http://www.ncbi.nlm.nih.gov/pubmed/12466437/,http://neuroelectro.org/data_table/885/,http://neuroelectro.org/article/12881/,Yang CR
